===============================================================================================
Assignment: California House Price Prediction (15.12.2019 - 15:59:39 => HousePricePrediction_20191512_155939)
===============================================================================================

Using device: GPU[0] GeForce RTX 2080 Ti
Loading data...
Model architecture:
	Input = [8]
	Output = [1]

	Filter Shape:[1]                            Params:1
	Filter Shape:[1 x 8]                        Params:8
	Filter Shape:[8]                            Params:8
	Filter Shape:[8 x 8]                        Params:64
	Filter Shape:[8]                            Params:8
	Filter Shape:[8 x 8]                        Params:64
	Total Number of Parameters: 153

     	     Train	     Train	      Test
Epoch	      Loss	     Error	     Error
-----	----------	----------	----------
    0	 25669.322	   112.872	    80.527
    1	 10103.995	    77.982	    79.340
    2	  9620.241	    76.109	    76.298
    3	  9372.348	    75.083	    75.879
    4	  9271.676	    74.487	    80.597
    5	  8935.692	    73.067	    73.384
    6	  8757.206	    72.279	    74.951
    7	  8610.702	    71.837	    71.056
    8	  8429.985	    70.541	    75.903
    9	  8278.910	    69.794	    69.243
   10	  8137.486	    69.250	    72.459
   11	  8417.490	    69.676	    69.017
   12	  7797.028	    67.681	    67.202
   13	  7775.164	    67.418	    68.425
   14	  7573.801	    66.606	    64.931
   15	  7383.052	    65.573	    65.533
   16	  7714.841	    66.156	    64.718
   17	  7186.429	    64.581	    64.233
   18	  7175.039	    64.400	    62.070
   19	  7053.870	    63.637	    61.620
   20	  6926.072	    63.120	    61.518
   21	  6675.375	    61.836	    60.088
   22	  7002.035	    62.731	    59.736
   23	  6357.466	    60.542	    60.302
   24	  6340.179	    60.233	    59.466
   25	  6553.360	    60.655	    64.090
   26	  6131.833	    59.041	    63.827
   27	  6148.188	    59.157	    56.510
   28	  6015.093	    58.283	    58.110
   29	  6172.141	    58.889	    55.563
   30	  5899.032	    57.783	    57.162
   31	  6152.165	    58.499	    59.290
   32	  5983.925	    57.822	    56.015
   33	  5823.893	    57.144	    54.475
   34	  5781.361	    57.069	    56.672
   35	  5822.134	    57.145	    54.960
   36	  5759.907	    56.776	    64.413
   37	  5684.231	    56.380	    54.477
   38	  5719.173	    56.283	    53.878
   39	  5605.145	    55.922	    53.139
   40	  5580.587	    55.907	    66.733
   41	  5595.902	    55.704	    59.298
   42	  5456.815	    55.261	    53.512
   43	  5563.739	    55.629	    59.110
   44	  5486.006	    55.337	    54.510
   45	  5528.941	    55.553	    79.118
   46	  5469.201	    55.184	    52.041
   47	  5371.136	    54.599	    63.716
   48	  5403.575	    54.616	    54.389
   49	  5405.993	    54.677	    52.958
model training done (epochs=50, batchSize=16): training time: 00:00:31.6317917


Final test MAE: 52.96
